"anio","marca","cod_provincia","matriculaciones"
2021,"3 CARROCEROS","03",1
2021,"3 CARROCEROS","05",1
2021,"3 CARROCEROS","06",2
2021,"3 CARROCEROS","08",4
2021,"3 CARROCEROS","15",2
2021,"3 CARROCEROS","17",1
2021,"3 CARROCEROS","24",1
2021,"3 CARROCEROS","27",1
2021,"3 CARROCEROS","28",18
2021,"3 CARROCEROS","29",4
2021,"3 CARROCEROS","36",1
2021,"3 CARROCEROS","37",1
2021,"3 CARROCEROS","41",1
2021,"3 CARROCEROS","45",1
2021,"3 CARROCEROS","46",59
2021,"3 CARROCEROS","48",1
2021,"3 CARROCEROS","50",2
2021,"A.U.S.A.","03",32
2021,"A.U.S.A.","04",18
2021,"A.U.S.A.","06",8
2021,"A.U.S.A.","07",13
2021,"A.U.S.A.","08",69
2021,"A.U.S.A.","10",3
2021,"A.U.S.A.","11",18
2021,"A.U.S.A.","13",4
2021,"A.U.S.A.","14",21
2021,"A.U.S.A.","15",4
2021,"A.U.S.A.","16",1
2021,"A.U.S.A.","17",5
2021,"A.U.S.A.","18",10
2021,"A.U.S.A.","19",1
2021,"A.U.S.A.","20",3
2021,"A.U.S.A.","21",3
2021,"A.U.S.A.","22",1
2021,"A.U.S.A.","23",28
2021,"A.U.S.A.","24",15
2021,"A.U.S.A.","25",1
2021,"A.U.S.A.","28",25
2021,"A.U.S.A.","29",18
2021,"A.U.S.A.","30",21
2021,"A.U.S.A.","33",58
2021,"A.U.S.A.","35",4
2021,"A.U.S.A.","36",20
2021,"A.U.S.A.","37",9
2021,"A.U.S.A.","38",7
2021,"A.U.S.A.","39",1
2021,"A.U.S.A.","40",1
2021,"A.U.S.A.","41",12
2021,"A.U.S.A.","42",2
2021,"A.U.S.A.","43",5
2021,"A.U.S.A.","44",3
2021,"A.U.S.A.","46",39
2021,"A.U.S.A.","47",3
2021,"A.U.S.A.","48",1
2021,"A.U.S.A.","49",2
2021,"A.U.S.A.","50",14
2021,"ABL BOCKMANN","01",3
2021,"ABL BOCKMANN","02",5
2021,"ABL BOCKMANN","03",23
2021,"ABL BOCKMANN","04",25
2021,"ABL BOCKMANN","05",1
2021,"ABL BOCKMANN","06",5
2021,"ABL BOCKMANN","07",10
2021,"ABL BOCKMANN","08",103
2021,"ABL BOCKMANN","09",17
2021,"ABL BOCKMANN","10",10
2021,"ABL BOCKMANN","11",15
2021,"ABL BOCKMANN","12",8
2021,"ABL BOCKMANN","13",7
2021,"ABL BOCKMANN","14",9
2021,"ABL BOCKMANN","15",11
2021,"ABL BOCKMANN","16",9
2021,"ABL BOCKMANN","17",31
2021,"ABL BOCKMANN","18",7
2021,"ABL BOCKMANN","19",6
2021,"ABL BOCKMANN","20",21
2021,"ABL BOCKMANN","21",1
2021,"ABL BOCKMANN","22",14
2021,"ABL BOCKMANN","23",7
2021,"ABL BOCKMANN","24",17
2021,"ABL BOCKMANN","25",14
2021,"ABL BOCKMANN","26",6
2021,"ABL BOCKMANN","27",1
2021,"ABL BOCKMANN","28",513
2021,"ABL BOCKMANN","29",8
2021,"ABL BOCKMANN","30",23
2021,"ABL BOCKMANN","31",31
2021,"ABL BOCKMANN","32",11
2021,"ABL BOCKMANN","33",1
2021,"ABL BOCKMANN","34",1
2021,"ABL BOCKMANN","35",10
2021,"ABL BOCKMANN","36",3
2021,"ABL BOCKMANN","37",5
2021,"ABL BOCKMANN","39",6
2021,"ABL BOCKMANN","40",6
2021,"ABL BOCKMANN","41",15
2021,"ABL BOCKMANN","42",4
2021,"ABL BOCKMANN","43",19
2021,"ABL BOCKMANN","44",22
2021,"ABL BOCKMANN","45",13
2021,"ABL BOCKMANN","46",50
2021,"ABL BOCKMANN","47",5
2021,"ABL BOCKMANN","48",15
2021,"ABL BOCKMANN","49",4
2021,"ABL BOCKMANN","50",46
2021,"ADRIA","01",6
2021,"ADRIA","02",4
2021,"ADRIA","03",36
2021,"ADRIA","04",2
2021,"ADRIA","05",2
2021,"ADRIA","06",2
2021,"ADRIA","07",4
2021,"ADRIA","08",165
2021,"ADRIA","09",5
2021,"ADRIA","10",2
2021,"ADRIA","11",10
2021,"ADRIA","12",3
2021,"ADRIA","13",2
2021,"ADRIA","14",7
2021,"ADRIA","15",6
2021,"ADRIA","16",1
2021,"ADRIA","17",84
2021,"ADRIA","18",1
2021,"ADRIA","19",5
2021,"ADRIA","20",18
2021,"ADRIA","21",3
2021,"ADRIA","23",6
2021,"ADRIA","24",1
