fecha,real,pred_md,pred_baseline,dow,laborable,w_opt,alpha_opt
2026-03-01,NA,0,0,domingo,0,0.95,0.1
2026-03-02,4456,5248.33,3834.04,lunes,1,0.95,0.1
2026-03-03,5882,6082.64,5075.61,martes,1,0.95,0.1
2026-03-04,6515,5903.42,4772.42,miercoles,1,0.95,0.1
2026-03-05,6972,6661.88,5899.67,jueves,1,0.95,0.1
2026-03-06,9501,6055.77,4947.38,viernes,1,0.95,0.1
2026-03-07,NA,0,0,sabado,0,0.95,0.1
2026-03-08,NA,0,0,domingo,0,0.95,0.1
2026-03-09,6165,6609.11,5921.54,lunes,1,0.95,0.1
2026-03-10,8255,6702.77,6026.91,martes,1,0.95,0.1
2026-03-11,9031,7373.06,7026.92,miercoles,1,0.95,0.1
2026-03-12,7891,7455.02,7116.39,jueves,1,0.95,0.1
2026-03-13,7802,6724.5,5973.23,viernes,1,0.95,0.1
2026-03-14,NA,0,0,sabado,0,0.95,0.1
2026-03-15,NA,0,0,domingo,0,0.95,0.1
2026-03-16,7497,6381.66,5572.63,lunes,1,0.95,0.1
2026-03-17,8442,6781.82,6148.18,martes,1,0.95,0.1
2026-03-18,9285,7365.29,7014.99,miercoles,1,0.95,0.1
2026-03-19,7304,7764.11,7590.55,jueves,1,0.95,0.1
2026-03-20,9865,9374.14,10037.89,viernes,1,0.95,0.1
2026-03-21,NA,0,0,sabado,0,0.95,0.1
2026-03-22,NA,0,0,domingo,0,0.95,0.1
2026-03-23,8720,7658.21,7530.91,lunes,1,0.95,0.1
2026-03-24,10983,9398.41,10162.15,martes,1,0.95,0.1
2026-03-25,12800,10959.7,12528.98,miercoles,1,0.95,0.1
2026-03-26,NA,13650.47,16620.48,jueves,1,0.95,0.1
2026-03-27,NA,16170.27,20463.47,viernes,1,0.95,0.1
2026-03-28,NA,0,0,sabado,0,0.95,0.1
2026-03-29,NA,0,0,domingo,0,0.95,0.1
2026-03-30,NA,7972.61,8013.22,lunes,1,0.95,0.1
2026-03-31,NA,7997.58,8013.22,martes,1,0.95,0.1
2026-04-01,5861,4990.61,3899.78,miercoles,1,0.95,0.1
2026-04-02,1032,5772.54,5147.78,jueves,1,0.95,0.1
2026-04-03,NA,6169.84,5701.76,viernes,1,0.95,0.1
2026-04-04,NA,0,0,sabado,0,0.95,0.1
2026-04-05,NA,0,0,domingo,0,0.95,0.1
2026-04-06,2337,6438.46,6101.72,lunes,1,0.95,0.1
2026-04-07,5147,7958.3,8315.04,martes,1,0.95,0.1
2026-04-08,5654,6000.36,5395.45,miercoles,1,0.95,0.1
2026-04-09,2456,7174.6,7224.57,jueves,1,0.95,0.1
2026-04-10,6633,7656.4,7903.71,viernes,1,0.95,0.1
2026-04-11,NA,0,0,sabado,0,0.95,0.1
2026-04-12,NA,0,0,domingo,0,0.95,0.1
2026-04-13,5870,6981.44,6906.01,lunes,1,0.95,0.1
2026-04-14,7145,6954.46,6828.12,martes,1,0.95,0.1
2026-04-15,7743,6787.36,6561.19,miercoles,1,0.95,0.1
2026-04-16,7782,7285.09,7388.23,jueves,1,0.95,0.1
2026-04-17,9236,7806.47,8126,viernes,1,0.95,0.1
2026-04-18,NA,0,0,sabado,0,0.95,0.1
2026-04-19,NA,0,0,domingo,0,0.95,0.1
2026-04-20,7897,6634.62,6392.28,lunes,1,0.95,0.1
2026-04-21,8047,8173.36,8633.6,martes,1,0.95,0.1
2026-04-22,NA,7509.95,7631.53,miercoles,1,0.95,0.1
2026-04-23,NA,8786.41,9612.05,jueves,1,0.95,0.1
2026-04-24,NA,9883.27,11202.24,viernes,1,0.95,0.1
2026-04-25,NA,0,0,sabado,0,0.95,0.1
2026-04-26,NA,0,0,domingo,0,0.95,0.1
2026-04-27,NA,7156.33,7165.06,lunes,1,0.95,0.1
2026-04-28,NA,7181.93,7165.06,martes,1,0.95,0.1
2026-04-29,NA,7195.04,7165.06,miercoles,1,0.95,0.1
2026-04-30,NA,7134.42,7165.06,jueves,1,0.95,0.1
