"Año","Mes","Turismos"
2021,1,75335
2021,2,100919
2021,3,140588
2021,4,129073
2021,5,148589
2021,6,153744
2021,7,138044
2021,8,85084
2021,9,106942
2021,10,107225
2021,11,115177
2021,12,133053
2022,1,80320
2022,2,105956
2022,3,109184
2022,4,113859
2022,5,139537
2022,6,143875
2022,7,123719
2022,8,92219
2022,9,114542
2022,10,114043
2022,11,122290
2022,12,119245
2023,1,107492
2023,2,118990
2023,3,156308
2023,4,120570
2023,5,150534
2023,6,162333
2023,7,138417
2023,8,99790
2023,9,112725
2023,10,141045
2023,11,134202
2023,12,127658
2024,1,117036
2024,2,134018
2024,3,148796
2024,4,154004
2024,5,158789
2024,6,166021
2024,7,150215
2024,8,97890
2024,9,130367
2024,10,151548
2024,11,140976
2024,12,166690
2025,1,125425
2025,2,147085
2025,3,179345
2025,4,162550
2025,5,185750
2025,6,194021
2025,7,179039
2025,8,113138
2025,9,154363
2025,10,176870
2025,11,160698
2025,12,166146
2026,1,129236
2026,2,160279
2026,3,208560
